N,Time(ms),FLOPS
421,232.470,641962068.224
422,235.826,637346586.042
423,230.135,657761461.751
424,232.393,656001032.733
425,233.152,658502822.193
426,235.551,656407962.607
427,238.314,653377334.105
428,242.394,646903405.200
429,240.499,656581432.771
430,241.352,658846829.527
431,243.384,657914990.303
432,244.885,658444314.678
433,246.670,658229513.115
434,248.937,656764595.058
435,248.946,661291002.868
436,252.695,655983347.514
437,256.208,651450797.789
438,254.334,660766330.888
439,256.308,660178527.397
440,259.301,657027932.789
441,260.146,659369131.180
442,262.429,658089525.167
443,268.567,647423600.070
444,265.498,659352492.297
445,270.115,652471169.687
446,269.560,658232200.623
447,271.807,657191485.135
448,272.740,659348771.724
449,274.043,660617851.943
450,277.617,656479970.607
451,277.647,660794829.406
452,299.595,616468285.519
453,282.275,658646192.543
454,284.384,658100765.163
455,285.886,658978578.874
456,287.882,658733897.917
457,289.950,658347942.749
458,291.251,659719018.990
459,293.261,659498392.217
460,298.565,652025522.081
461,301.259,650418284.599
462,299.881,657668395.130
463,302.096,657094744.717
464,305.764,653427767.821
465,304.612,660148812.260
466,315.344,641805114.415
467,309.088,659019845.481
468,313.785,653334174.674
469,312.707,659797887.479
470,316.070,656962065.365
471,316.198,660896722.939
472,324.454,648190794.381
473,321.036,659264487.472
474,324.328,656720505.168
475,325.614,658275596.258
476,329.212,655201973.197
477,331.790,654217022.816
478,330.731,660448231.342
479,334.879,656369847.019
480,339.610,651288242.396
481,341.431,651871921.413
482,342.059,654741831.088
483,344.758,653667714.745
484,346.897,653680510.353
485,348.849,654060209.432
486,351.730,652723714.213
487,350.682,658723875.192
488,354.737,655213704.801
489,357.465,654218841.005
490,359.936,653721772.760
491,362.070,653855724.031
492,363.075,656037942.574
493,363.572,659144031.994
494,366.803,657321690.390
495,375.992,645159338.497
496,397.193,614431452.719
497,377.067,651149387.244
498,375.320,658137013.748
499,388.086,640329715.579
500,386.191,647348073.881
501,387.502,649036655.295
502,384.510,658011536.761
503,387.322,657145873.459
504,392.573,652230611.886
505,406.897,633023222.093
506,401.636,645132488.124
507,400.966,650049345.830
508,403.419,649927306.349
509,399.464,660245874.472
510,404.514,655853691.096
511,404.530,659693130.299
512,407.340,658996062.258
513,408.487,661003640.263
514,411.569,659897825.152
515,413.947,659943785.074
516,416.563,659626975.992
517,421.920,655045567.880
518,423.580,656271929.742
519,425.359,657319389.034
520,425.766,660494262.106
521,432.339,654212370.385
522,431.899,658656991.565
523,433.781,659575532.354
524,440.202,653690005.952
525,450.280,642725082.171
526,441.575,659147714.431
527,447.738,653789417.025
528,453.246,649527859.043
529,451.078,656364925.800
530,453.036,657241367.132
531,459.159,652154443.232
532,455.662,660879195.544
533,458.421,660613004.204
534,461.538,659851643.852
535,463.882,660212618.726
536,465.113,662164489.060
537,467.726,662157558.057
538,472.236,659504451.164
539,475.042,659271470.733
540,479.358,656978709.023
541,481.346,657906873.642
542,482.198,660392983.795
543,488.478,655517779.716
544,487.825,660028428.227
545,490.475,660089199.246
546,498.820,652625540.275
547,497.363,658140324.069
548,498.800,659850008.019
549,502.427,658679366.356
550,508.169,654801847.417
551,510.628,655209471.474
552,512.335,656588396.264
553,516.475,654871492.328
554,518.494,655866659.981
555,528.356,647116243.593
556,527.350,651861632.692
557,537.721,642744817.480
558,530.842,654586909.099
559,529.923,659253812.346
560,536.436,654750986.138
561,535.484,659435131.582
562,541.151,656025131.618
563,541.706,658857561.112
564,541.648,662445514.430
565,546.519,660039724.145
566,549.170,660347418.832
567,561.358,649440332.194
568,565.359,648262190.926
569,569.676,646753624.867
570,572.895,646516377.347
571,568.865,654529320.665
572,572.613,653667478.733
573,569.858,660278585.191
574,572.713,660432796.182
575,576.476,659556945.996
576,577.327,662026809.763
577,582.462,659613959.366
578,593.158,651093138.759
579,594.024,653524231.344
580,596.433,654262926.431
581,594.425,659874470.286
582,605.619,651027685.723
583,609.175,650569333.935
584,604.237,659266824.110
585,607.452,659152081.152
586,608.234,661686311.518
587,617.664,654925665.087
588,620.937,654808690.737
589,620.808,658291996.881
590,626.908,655212567.075
591,625.941,659567182.850
592,629.421,659255690.547
593,632.111,659782402.141
594,645.252,649620873.705
595,639.768,658503942.054
596,643.493,657998567.195
597,646.325,658418513.906
598,680.367,628623057.850
599,673.527,638198020.272
600,666.278,648378004.377
601,657.613,660211403.972
602,668.314,652888336.919
603,666.189,658240310.182
604,670.657,657113439.508
605,671.394,659657741.952
606,674.868,659521613.115
607,687.695,650429457.827
608,683.746,657424575.793
609,687.693,656881861.528
610,688.739,659120508.640
611,692.461,658807155.926
612,697.854,656930899.586
613,700.128,658012240.619
614,713.282,649043559.209
615,707.179,657848649.352
616,725.554,644321155.972
617,717.549,654687311.947
618,720.883,654833119.938
