N,Time(ms),FLOPS
385,198.804,574099364.198
386,207.812,553504667.680
387,201.518,575239958.713
388,201.836,578797360.233
389,208.346,565058786.826
390,204.871,579086351.899
391,209.524,570593068.097
392,210.260,572969542.471
393,212.324,571753141.425
394,212.306,576177630.401
395,218.391,564399402.906
396,217.414,571252412.448
397,215.659,580275091.696
398,223.063,565264449.954
399,221.529,573479761.115
400,223.707,572176999.379
401,228.974,563218540.096
402,227.132,572044520.367
403,226.161,578798528.482
404,229.158,575491704.414
405,232.546,571328898.368
406,235.888,567416875.805
407,235.540,572464490.108
408,240.654,564439502.356
409,242.205,564958848.909
410,241.680,570349222.112
411,239.055,580841488.360
412,239.828,583205697.416
413,245.437,574037304.889
414,246.776,575079780.854
415,250.108,571540094.679
416,251.118,573366274.023
417,253.338,572450346.967
418,262.037,557437552.712
419,256.035,574609401.058
420,257.390,575686701.115
421,262.161,569256762.066
422,265.643,565807854.903
423,272.744,555003717.772
424,269.609,565448660.838
425,269.878,568891313.853
426,270.990,570565526.403
427,267.039,583094476.837
428,277.018,566048069.079
429,278.587,566814596.517
430,273.156,582136215.203
431,282.406,567006302.982
432,286.376,563046959.242
433,284.650,570403913.578
434,286.134,571386161.728
435,291.268,565203695.566
436,288.063,575442566.383
437,292.167,571272272.365
438,291.777,575971868.927
439,297.764,568265599.602
440,301.895,564328657.315
441,301.206,569484811.060
442,309.140,558652312.868
443,309.590,561635110.953
444,305.982,572114594.976
445,315.538,558545246.531
446,311.253,570060600.219
447,316.893,563689466.161
448,316.803,567642301.367
449,320.969,564034838.255
450,320.652,568373189.626
451,319.784,573723832.337
452,325.408,567566919.068
453,326.156,570031990.826
454,326.924,572467386.916
455,333.801,564386415.859
456,333.537,568565502.478
457,340.348,560861195.012
458,339.448,566047889.515
459,334.105,578875377.501
460,338.486,575125706.824
461,341.317,574083218.826
462,342.268,576221720.991
463,351.648,564501131.814
464,352.645,566560387.926
465,356.052,564774948.603
466,366.987,551489268.012
467,354.868,574002519.247
468,358.456,571915281.094
469,368.702,559593975.623
470,371.459,559001127.985
471,373.346,559733389.403
472,376.125,559144156.863
473,377.184,561125694.621
474,377.328,564476656.914
475,375.457,570887611.631
476,375.506,574425846.724
477,378.734,573126959.819
478,379.506,575565877.746
479,399.551,550128714.482
480,390.514,566391985.947
481,393.610,565456370.519
482,398.727,561688413.376
483,399.525,564062759.527
484,400.022,566868342.241
485,398.946,571927654.369
486,402.314,570655040.590
487,408.405,565621395.429
488,412.226,563837661.865
489,415.021,563490372.776
490,418.450,562308519.536
491,422.130,560826148.343
492,418.752,568811554.333
493,415.954,576136577.602
494,432.001,558118078.430
495,433.353,559762480.011
496,434.538,561626076.431
497,435.393,563920288.108
498,437.581,564494308.482
499,436.162,569749308.743
500,450.975,554354454.238
501,440.856,570487873.591
502,444.461,569255831.220
503,454.034,560590295.000
504,458.234,558771562.128
505,454.564,566642430.989
506,458.028,565704349.952
507,505.561,515561299.230
508,517.499,506654165.515
509,531.974,495784489.468
510,521.003,509213958.461
511,476.045,560589150.185
512,477.615,562033135.475
513,483.274,558712850.267
514,491.029,553110891.617
515,483.636,564849907.782
516,483.556,568240683.602
517,483.184,571990848.207
518,489.795,567551044.825
519,500.572,558554449.710
520,496.421,566486913.326
521,508.129,556633299.812
522,503.111,565428495.899
523,501.534,570472458.497
524,502.796,572310933.261
525,507.231,570561046.151
526,506.493,574663720.920
527,528.142,554256934.688
528,534.627,550656633.503
529,539.681,548605153.785
530,535.247,556292702.248
531,538.514,556053476.790
532,527.647,570717801.864
533,544.813,555858384.436
534,538.086,565981289.236
535,545.304,561633052.389
536,550.622,559333466.516
537,548.848,564287937.644
538,560.210,555937494.868
539,546.403,573169689.771
540,550.701,571867492.523
541,553.497,572145543.698
542,562.744,565870406.437
543,571.290,560496444.888
544,571.489,563402564.179
545,587.936,550667504.626
546,579.942,561336602.626
547,586.358,558250498.842
548,585.568,562075086.070
549,582.317,568312960.123
550,587.651,566237443.653
551,597.146,560278896.618
552,600.450,560235183.612
553,602.391,561470463.536
554,606.159,561012750.780
555,600.296,569565264.470
556,597.040,575772531.154
557,605.063,571208925.352
558,608.510,571037820.249
559,621.090,562484918.450
560,629.212,558209315.779
561,631.822,558886778.238
562,636.907,557394809.603
563,645.576,552850623.319
564,633.000,566844056.872
565,636.663,566585854.683
566,641.667,565157616.022
567,654.220,557256772.951
568,657.818,557146298.824
569,658.705,559339944.285
570,658.767,562241278.024
571,672.019,554059962.590
572,674.238,555142985.118
