N,Time(ms),FLOPS
712,1123.715,642412227.300
713,1133.039,639813981.690
714,1135.564,641081161.432
715,1148.248,636667122.433
716,1156.160,634966952.671
717,1156.499,637444239.900
718,1171.721,631799262.794
719,1166.721,637161684.756
720,1175.078,635273573.329
721,1171.733,639745336.182
722,1182.693,636457724.870
723,1191.652,634301066.083
724,1181.855,642216556.177
725,1201.831,634162581.927
726,1198.217,638710978.062
727,1217.648,631119310.343
728,1213.275,636011377.470
729,1212.044,639284529.275
730,1243.121,625871496.017
731,1224.385,638063829.596
732,1228.133,638730769.387
733,1237.120,636693024.121
734,1243.826,635855664.699
735,1261.628,629449211.654
736,1244.664,640635956.371
737,1249.174,640928410.294
738,1253.548,641295382.387
739,1262.744,639216530.033
740,1269.646,638325958.574
741,1274.705,638373617.425
742,1286.537,635066831.346
743,1284.155,638820714.010
744,1294.893,636084655.643
745,1291.917,640124133.362
746,1316.567,630671946.054
747,1310.493,636146431.915
748,1307.079,640372910.895
749,1320.850,636241433.925
750,1327.023,635821685.080
751,1328.069,637865579.273
752,1330.223,639380025.755
753,1335.955,639179878.065
754,1338.186,640659914.242
755,1348.774,638163065.124
756,1364.793,633182051.784
757,1376.111,630469624.907
758,1363.355,638893776.016
759,1380.045,633668436.899
760,1368.675,641461267.284
761,1370.542,643119409.693
762,1380.429,641033661.275
763,1443.758,615331581.886
764,1448.350,615795552.180
765,1454.519,615594743.004
766,1460.119,615641733.311
767,1426.011,632838965.478
768,1419.302,638320571.661
769,1427.386,637187991.195
770,1427.500,639625919.440
771,1442.201,635575777.579
772,1439.980,639036164.391
773,1445.605,639026451.901
774,1473.777,629246926.774
775,1471.264,632767980.458
776,1459.464,640356426.743
777,1469.337,638515783.649
778,1473.558,639148173.333
779,1479.210,639164336.369
780,1492.948,635724753.977
781,1505.763,632741727.616
782,1502.303,636638238.757
783,1512.071,634955219.695
784,1500.673,642232257.127
785,1521.120,636026907.805
786,1525.376,636679292.188
787,1518.199,642133742.678
788,1528.167,640380105.054
789,1531.046,641612425.753
790,1555.176,634061996.842
791,1549.229,638916094.393
792,1546.339,642540979.695
793,1561.724,638624055.211
794,1566.144,639233919.742
795,1571.747,639364827.800
796,1579.941,638452114.351
797,1590.967,636419954.657
798,1600.229,635121088.294
799,1598.458,638218081.426
800,1601.676,639330301.509
801,1611.996,637622427.103
802,1616.476,638239736.315
803,1636.879,632644962.761
804,1620.562,641405221.152
805,1629.606,640228527.632
806,1641.982,637773880.591
807,1653.719,635607310.553
808,1645.466,641172910.288
809,1656.253,639365035.414
810,1657.603,641216262.278
811,1670.958,638450195.636
812,1682.545,636401793.711
813,1683.438,638417092.878
814,1687.545,639216310.084
815,1699.464,637075424.958
816,1698.990,639601758.692
817,1704.497,639882044.967
818,1718.512,636996927.575
819,1715.793,640349108.546
820,1736.715,634955073.227
821,1751.555,631881569.234
822,1748.608,635262160.530
823,1766.782,631024956.107
824,1756.212,637139734.838
825,1766.648,635684782.707
826,1775.397,634855163.099
827,1773.068,638000666.641
828,1777.364,638770169.757
829,1797.946,633748498.564
830,1804.185,633845198.802
831,1798.007,638324757.356
832,1802.679,638971628.338
833,1798.216,642869974.464
834,1814.910,639253410.913
835,1860.434,625857058.084
836,1864.973,626579640.563
837,1856.377,631742639.561
838,1893.678,621521158.296
839,1861.286,634603944.799
840,1855.010,639030517.356
841,1871.718,635590747.110
842,1874.158,637030269.593
843,1883.366,636177043.655
844,1889.176,636480226.300
845,1900.035,635094748.255
846,1905.172,635633670.871
847,1905.851,637663094.334
848,1920.553,635025632.721
849,1936.426,632051055.914
850,1958.736,627062554.627
851,1936.802,636404806.480
852,1982.389,623964527.648
853,1968.979,630428742.003
854,1955.876,636886861.948
855,1954.085,639712576.474
856,1970.543,636598151.880
857,1976.649,636858433.642
858,1985.732,636167128.293
859,2017.112,628462652.545
860,1992.065,638589604.255
861,2014.199,633777874.977
862,2019.843,634211597.634
863,2023.741,635195558.127
864,2029.000,635754109.414
865,2032.088,636994682.317
866,2043.439,635655770.493
867,2044.723,637459805.558
868,2047.245,638880087.141
869,2056.086,638334105.675
870,2076.146,634351341.380
871,2092.936,631434798.771
872,2090.701,634289501.942
873,2099.673,633754510.345
874,2096.241,636976019.456
875,2090.101,641042585.980
876,2092.884,642387610.589
877,2114.928,637871485.932
878,2117.944,639144521.290
879,2130.887,637435433.226
880,2137.788,637548718.582
881,2150.271,636010847.935
882,2147.783,638918333.929
883,2160.382,637355233.473
884,2163.650,638557164.051
885,2171.496,638411606.561
886,2187.923,635768677.417
887,2261.249,617237732.775
888,2248.007,622975882.193
889,2258.581,622156450.444
890,2269.527,621247511.045
891,2253.376,627811755.340
892,2257.676,628728203.693
893,2269.609,627528316.111
894,2286.922,624872194.154
895,2250.366,637156244.806
896,2251.370,639009257.474
897,2272.295,635246984.216
898,2275.090,636590897.063
899,2299.394,631968857.012
900,2294.262,635498474.019
901,2305.123,634614899.942
902,2315.555,633861694.497
903,2322.237,634142274.884
904,2314.861,638278725.159
905,2323.404,638044545.847
906,2384.752,623693714.063
907,2345.646,636193733.411
908,2364.649,633170768.262
909,2354.516,637999001.918
910,2382.375,632621648.565
911,2396.278,631026976.837
912,2398.318,632568765.276
913,2379.467,639679808.125
914,2389.703,639035013.138
915,2401.283,638042975.359
916,2408.110,638322415.504
917,2462.806,626192410.608
918,2445.388,632718106.084
919,2469.887,628491553.662
920,2439.122,638498607.286
921,2440.908,640114220.610
922,2452.402,639191656.180
923,2490.712,631410188.733
924,2481.589,635793456.531
925,2491.990,635197673.345
926,2515.170,631386964.698
927,2515.824,633270040.353
928,2527.128,632479836.399
929,2532.563,633164970.822
930,2539.061,633586195.842
931,2537.724,635967103.594
932,2541.583,637049876.396
933,2542.867,638779957.426
934,2562.144,636014606.517
935,2568.820,636401441.129
936,2574.843,636952121.741
937,2578.573,638071486.051
938,2586.038,638268789.554
939,2610.393,634338215.740
940,2606.356,637352687.047
941,2621.857,635608746.778
942,2641.702,632847223.495
943,2636.860,636030587.138
