N,Time(ms),FLOPS
487,357.705,645790822.046
488,368.696,630407012.824
489,368.342,634900005.973
490,369.595,636637400.398
491,374.858,631549925.572
492,369.553,644538066.258
493,373.797,641113529.536
494,374.374,644028613.098
495,374.334,648016877.975
496,377.735,646082232.253
497,379.668,646688543.675
498,385.956,640000373.100
499,385.481,644656929.914
500,386.720,646462556.889
501,390.176,644588601.042
502,398.745,634520849.164
503,398.512,638693575.099
504,398.704,642201051.407
505,400.407,643283583.953
506,405.729,638624382.285
507,448.680,580921115.271
508,452.774,579081449.023
509,452.675,582635352.074
510,457.502,579892546.918
511,417.337,639448843.501
512,415.212,646502162.751
513,422.411,639214873.666
514,421.469,644397305.614
515,422.844,646058002.478
516,424.962,646590029.226
517,429.033,644185472.912
518,431.956,643546250.081
519,434.368,643686270.628
520,435.328,645986474.566
521,440.573,641985600.570
522,444.735,639646746.939
523,449.260,636850229.266
524,449.032,640835503.928
525,449.177,644303359.255
526,452.167,643707196.677
527,457.140,640342927.768
528,482.001,610778616.642
529,462.090,640723188.124
530,463.219,642793149.677
531,470.389,636585000.925
532,481.454,625475198.046
533,473.210,639967190.042
534,473.183,643612741.793
535,481.554,635984230.221
536,483.478,637012050.186
537,488.132,634476547.327
538,490.897,634433993.282
539,505.346,619737047.488
540,497.426,633115277.448
541,495.239,639450531.965
542,498.991,638168175.378
543,497.268,643930464.056
544,500.479,643340415.882
545,505.527,640435130.072
546,504.449,645343081.263
547,516.859,633315171.062
548,554.508,593558945.948
549,561.757,589112904.690
550,590.860,563162170.396
551,598.648,558873164.197
552,537.338,626036528.219
553,579.895,583251716.259
554,551.683,616410018.072
555,562.953,607346883.310
556,584.638,587986466.839
557,563.526,613312226.943
558,556.617,624275262.883
559,544.753,641306716.989
560,545.817,643497729.092
561,558.598,632148632.827
562,560.996,632818515.640
563,560.428,636847363.087
564,571.734,627586059.251
565,573.510,628976390.996
566,578.804,626538503.535
567,594.400,613338704.576
568,569.609,643425339.136
569,586.834,627843679.814
