N,Time(ms),FLOPS
537,551.634,561438029.563
538,552.557,563637315.245
539,547.164,572372520.853
540,548.305,574366456.625
541,557.487,568050630.777
542,557.833,570852165.433
543,571.086,560696662.149
544,578.279,556787239.378
545,576.249,561835682.144
546,578.271,562958668.168
547,585.562,559009372.193
548,576.328,571086575.700
549,585.357,565361476.842
550,587.854,566041908.365
551,603.750,554150396.687
552,595.913,564500549.577
553,615.273,549714929.795
554,617.850,550397229.101
555,601.853,568091793.179
556,600.913,572061566.317
557,604.963,571303345.824
558,610.659,569028253.084
559,628.431,555914265.846
560,624.187,562703164.276
561,631.963,558762082.590
562,637.980,556457343.490
563,628.266,568082777.040
564,633.032,566815402.697
565,633.862,569089565.237
566,639.982,566645611.908
567,655.978,555763342.673
568,659.178,555996808.146
569,659.184,558933496.565
570,666.742,555516226.666
571,672.856,553370739.059
572,667.679,560596478.248
573,678.949,554187477.999
574,679.711,556469511.307
575,678.102,560710261.878
576,682.628,559903713.296
577,689.987,556822180.708
578,688.410,561004494.415
579,682.140,569104696.983
580,692.726,563316520.529
581,699.685,560603531.589
582,698.037,564833577.590
583,714.023,555038946.925
584,707.025,563421955.376
585,714.444,560440356.417
586,721.039,558166911.915
587,707.090,572096912.699
588,715.400,568346301.370
589,711.843,574105438.980
590,722.842,568254196.629
591,741.924,556458804.406
592,746.218,556069909.865
593,747.794,557714710.201
594,750.961,558177013.187
595,745.635,565008013.304
596,768.790,550758298.105
597,748.106,568839637.698
598,752.049,568705475.308
599,771.224,557352465.691
600,769.988,561047704.640
601,783.193,554350718.150
602,775.810,562424325.544
603,772.033,567997033.806
604,779.759,565171710.747
605,776.233,570563542.132
606,784.059,567674157.174
607,810.356,551976027.820
608,802.141,560389537.500
609,809.901,557763304.404
610,817.834,555078414.446
611,813.293,560927318.937
612,815.960,561843541.350
613,818.132,563103257.176
614,824.288,561637544.159
615,831.557,559452629.224
616,850.705,549532202.115
617,839.371,559669354.791
618,847.716,556858740.427
619,837.398,566461011.371
620,832.529,572539815.430
621,841.053,569483875.570
622,841.934,571640646.416
623,861.641,561264765.720
624,864.618,562029992.436
625,874.526,558338174.051
626,877.665,559015970.786
627,872.270,565173359.166
628,878.015,564166106.502
629,896.567,555135732.187
630,886.634,564036569.768
631,900.657,557902933.081
632,905.683,557448838.059
633,907.750,558823766.456
634,912.848,558340718.279
635,1045.759,489688111.697
636,1045.363,492191623.388
637,1047.743,493393614.656
638,1054.264,492654727.848
639,938.242,556182986.905
640,938.146,558855444.675
641,954.156,552057988.421
642,953.535,555006975.098
643,949.749,559827295.422
644,944.419,565617557.461
645,951.403,564085093.278
646,957.090,563345424.150
647,967.154,560076312.562
648,970.006,561022905.013
649,984.369,555400361.043
650,986.727,556638259.620
651,1011.380,545580199.332
652,971.862,570385112.290
653,976.303,570407090.831
654,990.521,564806327.175
655,1013.192,554705080.577
656,1014.271,556656783.049
657,1016.909,557755694.954
658,1026.521,555059880.899
659,1025.784,557995014.545
660,1020.446,563471266.485
661,1016.747,568095663.916
662,1038.320,558821033.978
663,1045.973,557250038.003
664,1045.682,559931114.813
665,1053.205,558447073.457
666,1067.097,553667184.895
667,1047.823,566395207.969
668,1071.407,556422782.379
669,1060.253,564805398.334
670,1062.726,566021721.497
671,1092.781,552922700.889
672,1086.046,558842715.686
673,1088.717,559964099.027
674,1094.096,559698644.360
675,1112.359,552963341.871
676,1115.331,553944570.715
677,1117.761,555196921.345
678,1126.047,553557270.700
679,1168.196,535949171.201
680,1162.595,540914075.839
681,1170.715,539535652.998
682,1192.831,531868417.236
683,1119.677,569114105.229
684,1128.337,567230364.687
685,1134.417,566668385.611
686,1140.169,566282465.143
687,1163.310,557448492.663
688,1168.092,557594216.894
689,1169.255,559472089.493
690,1181.206,556226432.985
691,1165.572,566141552.817
692,1169.009,566931286.243
693,1172.226,567830020.832
694,1181.650,565743467.186
695,1210.632,554590288.378
696,1211.169,556740695.972
697,1219.021,555542313.053
698,1220.280,557361248.238
