N,Time(ms),FLOPS
520,423.075,664695384.979
521,429.239,658937146.904
522,431.892,658667666.917
523,435.122,657542790.298
524,432.946,664645586.286
525,436.160,663532304.659
526,439.358,662473773.096
527,441.319,663298806.532
528,443.444,663885189.562
529,449.415,658793716.276
530,447.125,665930109.030
531,453.402,660435070.864
532,452.987,664781850.252
533,455.640,664645057.502
534,459.924,662167245.023
535,462.227,662576504.618
536,467.772,658400485.707
537,479.636,645715304.940
538,471.522,660503102.718
539,476.707,656968825.715
540,484.618,649847921.456
541,483.182,655406952.246
542,487.708,652932033.102
543,484.485,660920387.628
544,488.264,659434994.183
545,490.641,659865869.342
546,491.156,662809111.565
547,494.969,661323529.352
548,497.057,662163864.506
549,501.292,660170714.873
550,506.087,657495647.981
551,504.193,663571890.129
552,505.622,665305734.323
553,525.722,643352863.300
554,516.955,657819206.701
555,524.826,651468772.507
556,525.647,653973544.984
557,522.555,661399060.386
558,524.779,662149636.323
559,526.970,662948095.717
560,531.331,661041798.803
561,535.793,659054825.278
562,546.848,649190736.731
563,552.926,645487992.968
564,539.066,665618473.434
565,547.880,658400105.863
566,550.774,658424311.968
567,551.721,660784211.585
568,554.595,660844154.744
569,555.628,663105563.435
570,558.315,663399693.721
571,560.841,663893727.456
572,565.265,662164641.363
573,566.288,664441121.832
574,569.309,664381641.604
575,577.823,658019410.788
576,576.330,663172057.675
577,581.830,660330450.475
578,580.851,664888420.610
579,586.586,661811018.333
580,589.692,661742061.958
581,593.774,660597941.304
582,593.944,663824764.624
583,602.354,657936319.839
584,600.591,663269026.675
585,607.644,658943805.913
586,607.290,662714867.691
587,609.151,664078374.656
588,613.212,663057709.242
589,615.417,664058578.167
590,621.316,661109644.690
591,623.312,662349099.648
592,638.865,649510265.862
593,631.866,660038226.459
594,639.772,655185234.740
595,637.342,661010493.581
596,640.109,661477142.174
597,645.012,659758804.487
598,653.384,654583497.606
599,663.738,647610349.264
600,654.324,660223375.575
601,652.301,665587822.186
602,658.010,663112135.074
603,661.272,663134767.539
604,662.348,665356773.177
605,669.475,661548601.516
606,678.991,655516836.011
607,681.817,656036863.264
608,677.740,663250544.457
609,682.906,661486438.836
610,687.779,660040507.198
611,692.686,658593160.537
612,687.846,666489092.035
613,698.591,659459961.551
614,702.720,658798793.260
615,707.788,657282618.524
616,707.381,660874114.515
617,723.967,648883479.496
618,712.765,662291307.794
619,715.528,662941657.070
620,716.768,665007366.400
621,719.801,665414638.213
622,735.963,653950940.468
623,729.478,662951773.734
624,738.495,658015623.667
625,737.759,661843840.604
626,745.695,657948292.532
627,752.636,655009547.776
628,746.334,663705933.268
629,753.102,660888402.899
630,760.790,657335138.474
631,763.663,657985501.458
632,767.451,657855597.295
633,764.744,663322986.516
634,768.262,663419781.273
635,780.213,656353777.750
636,776.741,662407304.365
637,782.981,660232759.160
638,787.958,659157142.893
639,793.012,658040783.746
640,788.414,664990728.221
641,798.507,659667907.733
642,800.054,661478570.197
643,806.436,659315077.700
644,808.766,660487666.395
645,810.688,661996045.334
646,819.087,658260077.379
647,821.513,659368806.093
648,825.720,659055834.908
649,830.410,658372247.444
650,840.192,653719625.990
651,831.892,663293915.556
652,832.899,665549623.664
653,840.055,662921063.502
654,846.458,660933593.870
655,846.886,663634479.729
656,860.112,656427107.167
657,856.803,661980392.226
658,870.634,654443341.289
659,873.770,655072110.510
660,868.233,662255408.398
661,871.368,662876720.284
662,879.641,659627116.062
663,884.733,658807226.587
664,883.262,662894914.533
665,893.174,658504669.863
666,895.941,659436940.602
667,892.501,664964998.359
668,901.572,661239772.309
669,900.981,664649551.988
670,909.926,661071339.867
671,918.533,657813515.682
672,925.448,655821716.617
673,920.804,662076222.519
674,935.392,654660343.471
675,928.922,662158663.483
676,934.251,661312165.574
677,936.491,662662498.625
678,942.358,661459343.477
679,951.884,657741571.452
680,955.499,658152441.813
681,961.976,656609397.740
682,974.130,651277689.836
683,961.534,662716007.962
684,968.136,661092044.919
685,976.982,657983719.250
686,978.557,659805930.569
687,982.397,660105238.514
688,987.802,659364269.358
689,987.716,662301246.512
690,994.569,660605749.827
691,1004.044,657220940.517
692,1000.853,662182933.957
693,1007.267,660822913.885
694,1012.072,660536768.135
695,1021.197,657468392.485
696,1018.840,661838043.265
697,1032.857,655674256.940
698,1028.883,661043854.355
699,1033.901,660666928.458
700,1037.818,661002218.115
701,1044.861,659364453.262
702,1044.342,662519381.582
703,1054.707,658816006.720
704,1074.478,649457064.733
705,1067.611,656423781.696
706,1059.819,664067762.514
707,1067.712,661963606.291
708,1076.642,659262618.401
709,1078.345,661014478.669
710,1083.664,660557146.865
711,1089.438,659836412.903
712,1106.250,652554355.706
713,1090.312,664886925.944
714,1108.836,656534138.502
715,1114.277,656077214.194
716,1113.597,659236143.776
717,1111.843,663046514.661
718,1121.841,659890718.916
719,1137.501,653529023.711
720,1126.167,662864388.674
721,1136.459,659602081.553
722,1136.939,662070784.800
723,1147.487,658714333.147
724,1147.157,661641648.005
725,1147.431,664228393.690
726,1159.661,659946615.433
727,1169.254,657240570.483
728,1171.334,658784517.482
729,1171.609,661347751.682
730,1176.467,661330917.059
731,1189.010,657047276.305
732,1186.230,661293624.339
733,1191.840,660882059.672
734,1200.489,658809708.377
735,1210.600,655981125.062
736,1208.083,660034543.984
737,1208.168,662681933.307
738,1225.415,656018201.181
739,1221.595,660748315.113
740,1222.771,662796222.678
741,1225.077,664234200.789
742,1242.248,657708425.371
743,1241.215,660920802.601
744,1246.589,660732260.593
745,1264.680,653910277.699
746,1262.938,657452600.207
747,1267.104,657929772.142
748,1270.143,658995076.932
749,1269.100,662185405.405
750,1278.906,659743562.076
751,1287.280,658077109.875
752,1289.891,659372005.852
753,1288.159,662896081.928
754,1294.629,662214524.779
755,1304.388,659878617.405
756,1312.907,658205365.650
757,1313.288,660629036.434
758,1317.281,661240102.909
759,1323.641,660670799.711
760,1323.687,663262538.652
761,1332.195,661631489.384
762,1339.666,660538862.672
763,1355.826,655238868.409
764,1346.181,662531626.876
765,1346.735,664862983.438
766,1377.390,652618497.303
767,1359.818,663644197.974
768,1366.490,662990335.824
769,1380.937,658620355.599
770,1389.549,657095215.786
771,1399.912,654775458.743
772,1399.842,657359399.132
773,1398.734,660439964.997
774,1403.032,660975407.546
775,1419.385,655895863.349
776,1424.941,655870770.790
777,1432.435,654965053.214
778,1438.688,654639438.155
779,1427.404,662362076.889
780,1430.759,663357001.424
781,1437.201,662926815.386
782,1443.278,662674506.228
783,1451.854,661290580.182
784,1454.453,662641287.137
785,1466.425,659749561.007
786,1467.455,661809262.976
787,1471.839,662359677.927
788,1473.485,664145033.034
789,1483.360,662238524.701
790,1488.291,662557255.268
791,1493.336,662829625.751
792,1498.955,662852571.291
793,1505.024,662683461.526
794,1509.627,663165383.237
795,1526.063,658504760.288
796,1523.261,662208690.435
797,1526.431,663327163.822
798,1537.767,660918841.411
799,1548.874,658649314.276
800,1549.287,660949197.921
801,1558.578,659476010.825
802,1557.255,662511416.563
803,1575.813,657161258.347
804,1565.441,663989845.673
805,1572.150,663626403.333
806,1582.956,661555489.856
807,1588.043,661893844.184
808,1612.008,654480761.882
809,1601.362,661280995.802
810,1621.056,655672598.602
811,1625.230,656413838.041
812,1620.630,660715065.129
813,1633.659,657870212.817
814,1635.406,659595408.113
815,1643.909,658605038.357
816,1646.249,660092727.163
817,1653.442,659640329.688
818,1658.523,660037192.128
819,1665.051,659863582.557
820,1670.022,660312259.359
821,1672.912,661586097.774
822,1686.083,658819581.242
823,1699.323,656075115.796
824,1698.120,658936028.078
825,1701.931,659857097.614
826,1706.809,660366773.318
827,1713.168,660308017.661
828,1714.364,662243901.528
829,1742.777,653810314.228
830,1733.236,659791280.587
831,1742.196,658773399.778
832,1743.148,660793424.311
833,1752.428,659667087.036
834,1768.037,656200864.575
835,1773.655,656478148.231
836,1770.889,659868637.729
837,1768.551,663114892.361
838,1801.159,653446444.206
839,1792.445,658976670.414
840,1792.241,661411049.072
841,1809.883,657305826.951
842,1804.480,661628489.094
843,1817.128,659366986.806
844,1816.146,662074066.733
845,1826.295,660737859.984
846,1836.713,659325366.565
847,1842.894,659446960.053
848,1850.541,659050723.005
